"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:34:45.176938+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.5, yesterday high=673.97, time=2025-08-13 09:34:47.169307+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:34:48.172911+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:49.261731+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:34:56.174796+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:34:56.279617+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.5, yesterday high=673.97, time=2025-08-13 09:34:57.170331+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:34:58.170152+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:01.495294+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:01.515938+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:03.274903+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.5, yesterday high=673.97, time=2025-08-13 09:35:04.176530+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:04.277344+05:00"
"\u00e5tkt modified tsl: Conditions not met for ATRL: RSI=47.9, SMA=613.98, Close=662.5, yesterday high=673.97, time=2025-08-13 09:35:06.172813+05:00"
"\u00e5tkt modified tsl: Conditions not met for BAFL: RSI=64.78, SMA=78.48, Close=94.49, yesterday high=95.64, time=2025-08-13 09:35:09.222316+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:09.267043+05:00"
"\u00e5tkt modified tsl: Conditions not met for FCL: RSI=52.16, SMA=24.22, Close=24.94, yesterday high=25.45, time=2025-08-13 09:35:11.264727+05:00"
