"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.3, yesterday high=25.34, time=2025-08-11 13:24:55.427365+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:24:55.936648+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:24:57.146370+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:24:58.642039+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:25:02.240995+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:25:02.632165+05:00"
"\u274c Conditions not met for FCL: RSI=56.52, SMA=24.22, Close=25.3, yesterday high=25.34, time=2025-08-11 13:25:03.233358+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:25:04.146747+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:25:09.148025+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.5, yesterday high=429.0, time=2025-08-11 13:25:09.635761+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:25:10.145868+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.47, yesterday high=429.0, time=2025-08-11 13:25:12.670518+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:25:17.146160+05:00"
"\u274c Conditions not met for ATRL: RSI=56.5, SMA=611.72, Close=674.5, yesterday high=690.02, time=2025-08-11 13:25:18.157087+05:00"
"\u274c Conditions not met for PSO: RSI=66.07, SMA=356.54, Close=424.47, yesterday high=429.0, time=2025-08-11 13:25:18.639284+05:00"
"\u274c Conditions not met for BAFL: RSI=51.13, SMA=78.24, Close=90.0, yesterday high=89.9, time=2025-08-11 13:25:21.148082+05:00"
